Sanskrit,English
 darbhaḥ śocis tarūṇakam aśvasya vāraḥ paruṣasya vāraḥ  rathasya bandhuram,the first of all is indras car next is the chariot of the gods the third is varunas alone the last the serpents chariot struck the pillar and then sped away  their lustre is the darbha-grass its young shoots are their horses tail the reeds plume is their chariot seat
 ava śveta padā jahi pūrveṇa cāpareṇa ca  udaplutam iva dārv ahīnām arasaṃ viṣaṃ vār ugram,strike out white courser with thy foot strike both with fore and hinder foot stay the dire poison of the snakes and make it weak as soaking wood -4 loud neighing he hath dived below and rising up again replied stayed the dire poison of the snakes and made it weak as soaking wood
 paidvo hanti kasarṇīlaṃ paidvaḥ śvitram utāsitam  paidvo ratharvyāḥ śiraḥ saṃ bibheda pṛdākvāḥ,paidva kills kasarnila kills both the white serpent and the black paidva hath struck and cleft in twain ratharvis and the vipers head
 paidva prehi prathamo 'nu tvā vayam emasi  ahīn vy asyatāt patho yena smā vayam emasi,go onward horse of pedu go thou first we follow after thee cast thou aside the serpents from the pathway whereupon we tread
 idaṃ paidvo ajāyatedam asya parāyaṇam  imāny arvataḥ padāhighnyo vājinīvataḥ,here was the horse of pedu born this is the way that takes him hence these are the tracks the courser left the mighty slayer of the snakes
 saṃyataṃ na vi ṣparad vyāttaṃ na saṃ yamat  asmin kṣetre dvāv ahī strī ca pumāṃś ca tāv ubhāv arasā,let him not close the opened mouth nor open that which now is closed two snakes are in this field and both female and male are powerless
 arasāsa ihāhayo ye anti ye ca dūrake  ghanena hanmi vṛścikam ahiṃ daṇḍenāgatam,powerless are the serpents here those that are near and those afar i kill the scorpion with a club and with a staff the new-come snake
 aghāśvasyedaṃ bheṣajam ubhayoḥ svajasya ca  indro me 'him aghāyantam ahiṃ paidvo arandhayat,this is the remedy against aghasva and the adder both indra and paidva have subdued and tamed the vicious snake for me
 paidvasya manmahe vayaṃ sthirasya sthiradhāmnaḥ  ime paścā pṛdākavaḥ pradīdhyata āsate,we fix our thoughts on pedus horse strong off-spring of a stedfast line behind our backs the vipers here crouch down and lie in wait for us
 naṣṭāsavo naṣṭaviṣā hatā indreṇa vajriṇā  jaghānendro jaghnimā vayam,bereft of life and poison they lie slain by bolt-armed indras hand indra and we have slaughtered them
 kairātikā kumārikā sakā khanati bheṣajam  hiraṇyayībhir abhribhir girīnām upa sānuṣu,the young maid of kirata race a little damsel digs the drug digs it with shovels wrought of gold on the high ridges of the hills
 āyam agan yuvā bhiṣak pṛśnihāparājitaḥ  sa vai svajasya jambhana ubhayor vṛścikasya ca,hither the young uuconquered leech who slays the speckled snake hath come he verily demolishes adder and scorpion; both of them
 indro me 'him arandhayan mitraś ca varuṇaś ca  vātāparjanyobhā,indra mitra and varuna and vata and parjanya both have given the serpent up to me
 indro me 'him arandhayat pṛdākuṃ ca pṛdākvam  svajaṃ tiraścirājiṃ kasarṇīlaṃ daśonasim,indra hath given him up to me the female viper and the male the adder him with stripes athwart kasarnila dasonasi
 indro jaghāna prathamaṃ janitāram ahe tava  teṣām u tṛhyamāṇānāṃ kaḥ svit teṣām asad rasaḥ,o serpent indra hath destroyed the sire who first engendered thee and when these snakes are pierced and bored what sap and vigour will be theirs?
 saṃ hi śīrṣāṇy agrabhaṃ pauñjiṣṭha iva karvaram  sindhor madhyaṃ paretya vy anijam aher viṣam,their heads have i seized firmly as a fisher grasps the spotted prey waded half through the stream and washed the poison of the serpents off
 ahīnāṃ sarveṣāṃ viṣaṃ parā vahantu sindhavaḥ  hatās tiraścirājayo nipiṣṭāsaḥ pṛdākavaḥ,let the floods hurry on and bear the poison of all snakes afar tiraschirajis have been slain and vipers crushed and brayed to bits
 oṣadhīnām ahaṃ vṛṇa urvarīr iva sādhuyā  nayāmy arvatīr ivāhe niraitu viṣam,as from the salutary plants i deftly pick the fibres out and guide them skilfully like mares so let thy venom snake depart
 yad agnau sūrye viṣaṃ pṛthivyām oṣadhīṣu yat  kāndāviṣaṃ kanaknakaṃ niraitv aitu te viṣam,all poison that the sun and fire all that the earth and plants contain poison of most effectual power--let all thy venom pass away
 ye agnijā oṣadhijā ahīnāṃ ye apsujā vidyuta ābabhūvuḥ  yeṣāṃ jātāni bahudhā mahānti tebhyaḥ sarpebhyo namasā vidhema,serpents which fire or plants have generated those which have sprung from waters or the lightning whose mighty broods are found in many places these serpents we will reverently worship
 taudī nāmāsi kanyā ghṛtācī nāma vā asi  adhaspadena te padam ā dade viṣadūṣaṇam,thou art a maid called taudi or ghritachi is thy name thy place; is underneath my foot i take the poison-killing remedy
 aṅgādaṅgāt pra cyāvaya hṛdayam pari varjaya  adhā viṣasya yat tejo 'vācīnaṃ tad etu te,from every member drive away the venom and avoid the heart then let the poisons burning heat pass downward and away- from thee
 ābayo anābayo rasas ta ugra ābayo  ā te karambham admasi,o abayu non-abayu dire is thy juice o abayu; we eat the gruel made of thee
 vihahlo nāma te pitā madāvatī nāma te mātā  sa hina tvam asi yas tvam ātmānam āvayaḥ,vihalha is thy fathers name thy mothers is madavati yea verily thou art not he thou who hast well protected life
 agne yat te tapas tena taṃ prati tapa yo 'smān dveṣṭi yaṃ vayaṃ dviṣmaḥ,burn thou o agni with that heat of thine against the man who hates us whom we hate
 agne yat te haras tena taṃ prati hara yo 'smān dveṣṭi yaṃ vayaṃ dviṣmaḥ,flame thou o agni with that flame of thine against the man who hates us whom we hate
 agne yat te 'rcis tena taṃ praty arca yo 'smān dveṣṭi yaṃ vayaṃ dviṣmaḥ,shine out o agni with that sheen of thine against the man who hates us whom we hate
 aditir dyaur aditir antarikṣam aditir mātā sa pitā sa putraḥ  viśve devā aditiḥ pañca janā aditir jātam aditir janitvam,aditi is sky and airs mid-region aditi is the father son and mother aditi all the gods and the five nations aditi what is now and what is future  aditi is sky and airs mid-region aditi is the father son and mother aditi all the gods and the five nations aditi what is now and what is future
 mahīm ū ṣu mātaraṃ suvratānām ṛtasya patnīm avase havāmahe  tuvikṣatrām ajarantīm urūcīṃ suśarmāṇam aditiṃ supraṇītim,we call for help the queen of law and order great mother of all those whose ways are righteous far-spread unwasting strong in her dominion aditi wisely lead- ing well protecting  we call for help the queen of law and order great mother of all those whose ways are righteous far-spread unwasting strong in her dominion aditi wisely lead- ing well protecting
 sutrāmāṇaṃ pṛthivīṃ dyām anehasaṃ suśarmāṇam aditiṃ supraṇītim  daivīṃ nāvaṃ svaritrām anāgaso asravantīm ā ruhemā svastaye,sinless may we ascend for weal the vessel rowed with good oars divine that never leaketh earth our strong guard incomparable heaven aditi wisely lead- ing well protecting  sinless may we ascend for weal the vessel rowed with good oars divine that never leaketh earth our strong guard incomparable heaven aditi wisely lead- ing well protecting
 vi devā jarasāvṛtan vi tvam agne arātyā  vy ahaṃ sarveṇa pāpmanā vi yakṣmeṇa sam āyuṣā,may gods release from failing strength thou agni from malignity i free from every evil from decline i compass round with life
 vy ārtyā pavamāno vi śakraḥ pāpakṛtyayā  vy ahaṃ sarveṇa pāpmanā vi yakṣmeṇa sam āyuṣā,may pavamana free from harm and sakra from unrighteous deed i free from every evil from decline i compass round with life
