Sanskrit,English
so̱māna̱ṁ svara̍ṇaṁ kṛṇu̱hi bra̍hmaṇas pate   ka̱kṣīva̍nta̱ṁ ya au̍śi̱jaḥ,o brāhmaṇaspati make him who presses soma glorious  even kakṣīvān auśija
yo re̱vān yo a̍mīva̱hā va̍su̱vit pu̍ṣṭi̱vardha̍naḥ   sa na̍ḥ siṣaktu̱ yas tu̱raḥ,the rich the healer of disease who giveth wealth increaseth store  the promptmay he be with us still
mā na̱ḥ śaṁso̱ ara̍ruṣo dhū̱rtiḥ praṇa̱ṅ martya̍sya   rakṣā̍ ṇo brahmaṇas pate,let not the foeman's curse let not a mortal's onslaught fall on us  preserve us brahmaṇaspati
sa ghā̍ vī̱ro na ri̍ṣyati̱ yam indro̱ brahma̍ṇa̱s pati̍ḥ   somo̍ hi̱noti̱ martya̍m,neer is the mortal hero harmed whom indra brahmaṇaspati  and soma graciously inspire
tvaṁ tam bra̍hmaṇas pate̱ soma̱ indra̍ś ca̱ martya̍m   dakṣi̍ṇā pā̱tv aṁha̍saḥ,do thou o brahmaṇaspati and indra soma dakṣiṇā  preserve that mortal from distress
sada̍sa̱s pati̱m adbhu̍tam pri̱yam indra̍sya̱ kāmya̍m   sa̱nim me̱dhām a̍yāsiṣam,to the assembly's wondrous lord to indra's lovely friend who gives  wisdom have i drawn near in prayer
yasmā̍d ṛ̱te na sidhya̍ti ya̱jño vi̍pa̱ścita̍ś ca̱na   sa dhī̱nāṁ yoga̍m invati,he without whom no sacrifice een of the wise man prospers; he  stirs up the series of thoughts
ād ṛ̍dhnoti ha̱viṣkṛ̍ti̱m prāñca̍ṁ kṛṇoty adhva̱ram   hotrā̍ de̱veṣu̍ gacchati,he makes the oblation prosper he promotes the course of sacrifice  our voice of praise goes to the gods
narā̱śaṁsa̍ṁ su̱dhṛṣṭa̍ma̱m apa̍śyaṁ sa̱pratha̍stamam   di̱vo na sadma̍makhasam,i have seen narāśaṁsa him most resolute most widely famed  as twere the household priest of heaven
gāya̍nti tvā gāya̱triṇo 'rca̍nty a̱rkam a̱rkiṇa̍ḥ   bra̱hmāṇa̍s tvā śatakrata̱ ud va̱ṁśam i̍va yemire  0a ūrja̍ṁ gāvo̱ yava̍se̱ pīvo̍ attana ṛ̱tasya̱ yāḥ sada̍ne̱ kośe̍ a̱ṅgdhve  0c ta̱nūr e̱va ta̱nvo̍ astu bheṣa̱jam ā sa̱rvatā̍ti̱m adi̍tiṁ vṛṇīmahe  1a kra̱tu̱prāvā̍ jari̱tā śaśva̍tā̱m ava̱ indra̱ id bha̱drā prama̍tiḥ su̱tāva̍tām  1c pū̱rṇam ūdha̍r di̱vyaṁ yasya̍ si̱ktaya̱ ā sa̱rvatā̍ti̱m adi̍tiṁ vṛṇīmahe  2a ci̱tras te̍ bhā̱nuḥ kra̍tu̱prā a̍bhi̱ṣṭiḥ santi̱ spṛdho̍ jaraṇi̱prā adhṛ̍ṣṭāḥ  2c raji̍ṣṭhayā̱ rajyā̍ pa̱śva ā gos tūtū̍rṣati̱ pary agra̍ṁ duva̱syuḥ,the chanters hymn thee they who say the word of praise magnify thee  the priests have raised thee up on high o śatakratu like a pole
yat sāno̱ḥ sānu̱m āru̍ha̱d bhūry aspa̍ṣṭa̱ kartva̍m   tad indro̱ artha̍ṁ cetati yū̱thena̍ vṛ̱ṣṇir e̍jati,as up he clomb from ridge to ridge and looked upon the toilsome task  indra observes this wish of his and the rain hastens with his troop
yu̱kṣvā hi ke̱śinā̱ harī̱ vṛṣa̍ṇā kakṣya̱prā   athā̍ na indra somapā gi̱rām upa̍śrutiṁ cara,harness thy pair of strong bay steeds longmaned whose bodies fill the girths  and indra somadrinker come to listen to our songs of praise
ehi̱ stomā̍m̐ a̱bhi sva̍rā̱bhi gṛ̍ṇī̱hy ā ru̍va   brahma̍ ca no vaso̱ sacendra̍ ya̱jñaṁ ca̍ vardhaya,come hither answer thou the song sing in approval cry aloud  good indra make our prayer succeed and prosper this our sacrifice
u̱ktham indrā̍ya̱ śaṁsya̱ṁ vardha̍nam puruni̱ṣṣidhe̍   śa̱kro yathā̍ su̱teṣu̍ ṇo rā̱raṇa̍t sa̱khyeṣu̍ ca,to indra must a laud be said to strengthen him who freely gives  that śakra may take pleasure in our friendship and drinkofferings
tam it sa̍khi̱tva ī̍mahe̱ taṁ rā̱ye taṁ su̱vīrye̍   sa śa̱kra u̱ta na̍ḥ śaka̱d indro̱ vasu̱ daya̍mānaḥ,him him we seek for friendship him for riches and heroic might  for indra he is śakra he shall aid us while he gives us wealth
su̱vi̱vṛta̍ṁ suni̱raja̱m indra̱ tvādā̍ta̱m id yaśa̍ḥ   gavā̱m apa̍ vra̱jaṁ vṛ̍dhi kṛṇu̱ṣva rādho̍ adrivaḥ,easy to turn and drive away indra is spoil bestowed by thee  unclose the stable of the kine and give us wealth o thunderarmed
na̱hi tvā̱ roda̍sī u̱bhe ṛ̍ghā̱yamā̍ṇa̱m inva̍taḥ   jeṣa̱ḥ sva̍rvatīr a̱paḥ saṁ gā a̱smabhya̍ṁ dhūnuhi,the heaven and earth contain thee not together in thy wrathful mood  win us the waters of the sky and send us kine abundantly
āśru̍tkarṇa śru̱dhī hava̱ṁ nū ci̍d dadhiṣva me̱ gira̍ḥ   indra̱ stoma̍m i̱mam mama̍ kṛ̱ṣvā yu̱jaś ci̱d anta̍ram,hear thou whose ear is quick my call; take to thee readily my songs  o indra let this laud of mine come nearer even than thy friend
vi̱dmā hi tvā̱ vṛṣa̍ntama̱ṁ vāje̍ṣu havana̱śruta̍m   vṛṣa̍ntamasya hūmaha ū̱tiṁ sa̍hasra̱sāta̍mām  1a ud bu̍dhyadhva̱ṁ sama̍nasaḥ sakhāya̱ḥ sam a̱gnim i̍ndhvam ba̱hava̱ḥ sanī̍ḻāḥ  1c da̱dhi̱krām a̱gnim u̱ṣasa̍ṁ ca de̱vīm indrā̍va̱to 'va̍se̱ ni hva̍ye vaḥ  2a ma̱ndrā kṛ̍ṇudhva̱ṁ dhiya̱ ā ta̍nudhva̱ṁ nāva̍m aritra̱para̍ṇīṁ kṛṇudhvam  2c iṣkṛ̍ṇudhva̱m āyu̱dhāra̍ṁ kṛṇudhva̱m prāñca̍ṁ ya̱jñam pra ṇa̍yatā sakhāyaḥ  3a yu̱nakta̱ sīrā̱ vi yu̱gā ta̍nudhvaṁ kṛ̱te yonau̍ vapate̱ha bīja̍m  3c gi̱rā ca̍ śru̱ṣṭiḥ sabha̍rā̱ asa̍n no̱ nedī̍ya̱ it sṛ̱ṇya̍ḥ pa̱kvam eyā̍t  4a sīrā̍ yuñjanti ka̱vayo̍ yu̱gā vi ta̍nvate̱ pṛtha̍k  4c dhīrā̍ de̱veṣu̍ sumna̱yā  5a nir ā̍hā̱vān kṛ̍ṇotana̱ saṁ va̍ra̱trā da̍dhātana  5c si̱ñcāma̍hā ava̱tam u̱driṇa̍ṁ va̱yaṁ su̱ṣeka̱m anu̍pakṣitam  6a iṣkṛ̍tāhāvam ava̱taṁ su̍vara̱traṁ su̍ṣeca̱nam  6c u̱driṇa̍ṁ siñce̱ akṣi̍tam  7a prī̱ṇī̱tāśvā̍n hi̱taṁ ja̍yātha svasti̱vāha̱ṁ ratha̱m it kṛ̍ṇudhvam  7c droṇā̍hāvam ava̱tam aśma̍cakra̱m aṁsa̍trakośaṁ siñcatā nṛ̱pāṇa̍m  8a vra̱jaṁ kṛ̍ṇudhva̱ṁ sa hi vo̍ nṛ̱pāṇo̱ varma̍ sīvyadhvam bahu̱lā pṛ̱thūni̍  8c pura̍ḥ kṛṇudhva̱m āya̍sī̱r adhṛ̍ṣṭā̱ mā va̍ḥ susroc cama̱so dṛṁha̍tā̱ tam  9a ā vo̱ dhiya̍ṁ ya̱jñiyā̍ṁ varta ū̱taye̱ devā̍ de̱vīṁ ya̍ja̱tāṁ ya̱jñiyā̍m i̱ha  9c sā no̍ duhīya̱d yava̍seva ga̱tvī sa̱hasra̍dhārā̱ paya̍sā ma̱hī gauḥ,we know thee mightiest of all in battles hearer of our cry  of thee most mighty we invoke the aid that giveth thousandfold
ā tū na̍ indra kauśika mandasā̱naḥ su̱tam pi̍ba   navya̱m āyu̱ḥ pra sū ti̍ra kṛ̱dhī sa̍hasra̱sām ṛṣi̍m  0a ā tū ṣi̍ñca̱ hari̍m ī̱ṁ dror u̱pasthe̱ vāśī̍bhis takṣatāśma̱nmayī̍bhiḥ  0c pari̍ ṣvajadhva̱ṁ daśa̍ ka̱kṣyā̍bhir u̱bhe dhurau̱ prati̱ vahni̍ṁ yunakta  1a u̱bhe dhurau̱ vahni̍r ā̱pibda̍māno̱ 'ntar yone̍va carati dvi̱jāni̍ḥ  1c vana̱spati̱ṁ vana̱ āsthā̍payadhva̱ṁ ni ṣū da̍dhidhva̱m akha̍nanta̱ utsa̍m  2a kapṛ̍n naraḥ kapṛ̱tham ud da̍dhātana co̱daya̍ta khu̱data̱ vāja̍sātaye  2c ni̱ṣṭi̱grya̍ḥ pu̱tram ā cyā̍vayo̱taya̱ indra̍ṁ sa̱bādha̍ i̱ha soma̍pītaye,o indra son of kuśika drink our libation with delight  prolong our life anew and cause the seer to win a thousand gifts
pari̍ tvā girvaṇo̱ gira̍ i̱mā bha̍vantu vi̱śvata̍ḥ   vṛ̱ddhāyu̱m anu̱ vṛddha̍yo̱ juṣṭā̍ bhavantu̱ juṣṭa̍yaḥ,lover of song may these our songs on every side encompass thee  strengthening thee of lengthened life may they be dear delights to thee
indra̱ṁ viśvā̍ avīvṛdhan samu̱dravya̍casa̱ṁ gira̍ḥ   ra̱thīta̍maṁ ra̱thīnā̱ṁ vājā̍nā̱ṁ satpa̍ti̱m pati̍m  0a u̱pāva̍sṛja̱ tmanyā̍ sama̱ñjan de̱vānā̱m pātha̍ ṛtu̱thā ha̱vīṁṣi̍  0c vana̱spati̍ḥ śami̱tā de̱vo a̱gniḥ svada̍ntu ha̱vyam madhu̍nā ghṛ̱tena̍  1a sa̱dyo jā̱to vy a̍mimīta ya̱jñam a̱gnir de̱vānā̍m abhavat puro̱gāḥ  1c a̱sya hotu̍ḥ pra̱diśy ṛ̱tasya̍ vā̱ci svāhā̍kṛtaṁ ha̱vir a̍dantu de̱vāḥ,all sacred songs have magnified indra expansive as the sea  the best of warriors borne on cars the lord the very lord of strength
sa̱khye ta̍ indra vā̱jino̱ mā bhe̍ma śavasas pate   tvām a̱bhi pra ṇo̍numo̱ jetā̍ra̱m apa̍rājitam,strong in thy friendship indra lord of power and might we have no fear  we glorify with praises thee the neverconquered conqueror
pū̱rvīr indra̍sya rā̱tayo̱ na vi da̍syanty ū̱taya̍ḥ   yadī̱ vāja̍sya̱ goma̍taḥ sto̱tṛbhyo̱ maṁha̍te ma̱gham,the gifts of indra from of old his saving succours never fail  when to the praisesingers he gives the boon of substance rich in kine
pu̱rām bhi̱ndur yuvā̍ ka̱vir ami̍taujā ajāyata   indro̱ viśva̍sya̱ karma̍ṇo dha̱rtā va̱jrī pu̍ruṣṭu̱taḥ,crusher of forts the young the wise of strength unmeasured was he born  sustainer of each sacred rite indra the thunderer muchextolled
tvaṁ va̱lasya̱ goma̱to 'pā̍var adrivo̱ bila̍m   tvāṁ de̱vā abi̍bhyuṣas tu̱jyamā̍nāsa āviṣuḥ,lord of the thunder thou didst burst the cave of vala rich in cows  the gods came pressing to thy side and free from terror aided thee
tavā̱haṁ śū̍ra rā̱tibhi̱ḥ praty ā̍ya̱ṁ sindhu̍m ā̱vada̍n   upā̍tiṣṭhanta girvaṇo vi̱duṣ ṭe̱ tasya̍ kā̱rava̍ḥ,i hero through thy bounties am come to the flood addressing thee  songlover here the singers stand and testify to thee thereof
mā̱yābhi̍r indra mā̱yina̱ṁ tvaṁ śuṣṇa̱m avā̍tiraḥ   vi̱duṣ ṭe̱ tasya̱ medhi̍rā̱s teṣā̱ṁ śravā̱ṁsy ut ti̍ra,the wily śuṣṇa indra! thou oerthrewest with thy wondrous powers  the wise beheld this deed of thine now go beyond their eulogies
indra̱m īśā̍na̱m oja̍sā̱bhi stomā̍ anūṣata   sa̱hasra̱ṁ yasya̍ rā̱taya̍ u̱ta vā̱ santi̱ bhūya̍sīḥ,our songs of praise have glorified indra who ruleth by his might  whose precious gifts in thousands come yea even more abundantly
a̱gniṁ dū̱taṁ vṛ̍ṇīmahe̱ hotā̍raṁ vi̱śvave̍dasam   a̱sya ya̱jñasya̍ su̱kratu̍m,we choose agni the messenger the herald master of all wealth  well skilled in this our sacrifice
a̱gnima̍gni̱ṁ havī̍mabhi̱ḥ sadā̍ havanta vi̱śpati̍m   ha̱vya̱vāha̍m purupri̱yam,with callings ever they invoke agni agni lord of the house  oblationbearer much beloved
agne̍ de̱vām̐ i̱hā va̍ha jajñā̱no vṛ̱ktaba̍rhiṣe   asi̱ hotā̍ na̱ īḍya̍ḥ,bring the gods hither agni born for him who strews the sacred grass  thou art our herald meet for praise
tām̐ u̍śa̱to vi bo̍dhaya̱ yad a̍gne̱ yāsi̍ dū̱tya̍m   de̱vair ā sa̍tsi ba̱rhiṣi̍,wake up the willing gods since thou agni performest embassage  sit on the sacred grass with gods
ghṛtā̍havana dīdiva̱ḥ prati̍ ṣma̱ riṣa̍to daha   agne̱ tvaṁ ra̍kṣa̱svina̍ḥ,o agni radiant one to whom the holy oil is poured burn up  our enemies whom fiends protect
a̱gninā̱gniḥ sam i̍dhyate ka̱vir gṛ̱hapa̍ti̱r yuvā̍   ha̱vya̱vāḍ ju̱hvā̍syaḥ,by agni agni is inflamed lord of the house wise young who bears  the gift the ladle is his mouth
ka̱vim a̱gnim upa̍ stuhi sa̱tyadha̍rmāṇam adhva̱re   de̱vam a̍mīva̱cāta̍nam,praise agni in the sacrifice the sage whose ways are ever true  the god who driveth grief away
yas tvām a̍gne ha̱viṣpa̍tir dū̱taṁ de̍va sapa̱ryati̍   tasya̍ sma prāvi̱tā bha̍va,god agni be his strong defence who lord of sacrificial gifts  worshippeth thee the messenger
yo a̱gniṁ de̱vavī̍taye ha̱viṣmā̍m̐ ā̱vivā̍sati   tasmai̍ pāvaka mṛḻaya,whoso with sacred gift would fain call agni to the feast of gods  o purifier favour him
